name,born,died,geography,picture,wikipedia_url,non_person
Prafulla Chaki,1888,1908,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Prafulla_Chaki.jpg/330px-Prafulla_Chaki.jpg,https://en.wikipedia.org/wiki/Prafulla_Chaki,
Sachindra Nath Sanyal,1893,1942,India,,https://en.wikipedia.org/wiki/Sachindra_Nath_Sanyal,
Amitabh Bachchan,1942,,India,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Amitabh_Bachchan_December_2013.png/330px-Amitabh_Bachchan_December_2013.png,https://en.wikipedia.org/wiki/Amitabh_Bachchan,
Jatindra Nath Das,1904,1929,India,https://upload.wikimedia.org/wikipedia/commons/2/21/Jatin_Das_Indian_freedom_fighter.gif,https://en.wikipedia.org/wiki/Jatindra_Nath_Das,
Bhagat Singh,1907,1931,India,https://upload.wikimedia.org/wikipedia/commons/9/9b/Bhagat_Singh_1929_140x190.jpg,https://en.wikipedia.org/wiki/Bhagat_Singh,
Chandra Shekhar Azad,1906,1931,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Chandrashekar_azad.bmp.jpg/220px-Chandrashekar_azad.bmp.jpg,https://en.wikipedia.org/wiki/Chandra_Shekhar_Azad,
Shivaram Rajguru,1908,1931,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Statues_of_Bhagat_Singh%2C_Rajguru_and_Sukhdev.jpg/220px-Statues_of_Bhagat_Singh%2C_Rajguru_and_Sukhdev.jpg,https://en.wikipedia.org/wiki/Shivaram_Rajguru,
Sukhdev Thapar,1907,1931,India,https://upload.wikimedia.org/wikipedia/en/7/71/Sukhdev_Thapar.jpeg,https://en.wikipedia.org/wiki/Sukhdev_Thapar,
Lala Har Dayal,1884,1939,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Hardayal_from_%22Young_India%3B_an_interpretation_and_a_history_of_the_nationalist_movement_from_within%22_%281916%29_%2814781991012%29.jpg/220px-Hardayal_from_%22Young_India%3B_an_interpretation_and_a_history_of_the_nationalist_movement_from_within%22_%281916%29_%2814781991012%29.jpg,https://en.wikipedia.org/wiki/Har_Dayal,
Binoy Krishna Basu,1908,1930,India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Benoy_Krishna_Basu.jpg/200px-Benoy_Krishna_Basu.jpg,https://en.wikipedia.org/wiki/Benoy_Basu,
Badal Gupta,1912,1930,India,https://upload.wikimedia.org/wikipedia/commons/3/39/Badal_gupta.jpg,https://en.wikipedia.org/wiki/Badal_Gupta,
Dinesh Gupta,1911,1931,India,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Dinesh_Gupta_1.jpg/200px-Dinesh_Gupta_1.jpg,https://en.wikipedia.org/wiki/Dinesh_Gupta,
Leon Trotsky,1879,1940,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Bundesarchiv_Bild_183-R15068%2C_Leo_Dawidowitsch_Trotzki.jpg/220px-Bundesarchiv_Bild_183-R15068%2C_Leo_Dawidowitsch_Trotzki.jpg,https://en.wikipedia.org/wiki/Leon_Trotsky,
Joseph Stalin,1878,1953,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Stalin_Full_Image.jpg/220px-Stalin_Full_Image.jpg,https://en.wikipedia.org/wiki/Joseph_Stalin,
Ram Prasad Bismil,1897,1927,India,,https://en.wikipedia.org/wiki/Ram_Prasad_Bismil,
